pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
35.7,22596,-58.5,-89.5,339.0,12.0,4.300415394543609,-11.202965117966418,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
33.5,22994,-59.5,-90.5,354.0,12.0,1.254341559211841,-11.934262744419279,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
32.6,23165,-58.7,-89.9,0.0,12.0,-0.0,-12.0,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
30.0,23690,-56.1,-88.1,340.0,12.0,4.104241719908023,-11.276311449430901,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
29.6,23774,-55.9,-87.9,340.0,11.0,3.7622215765823546,-10.336618828644992,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
29.3,23840,-55.7,-87.7,332.0,11.0,5.164187190644799,-9.712423521448198,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
26.9,24384,-56.9,-88.9,265.0,10.0,9.961946980917455,0.8715574274765825,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
25.6,24689,-57.5,-89.5,295.0,11.0,9.969385657403148,-4.648800879147696,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
25.0,24847,-57.9,-89.9,305.0,11.0,9.01067248717891,-6.3093407998615065,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
24.1,25080,-56.1,-88.1,319.0,12.0,7.872708347886089,-9.056514962673262,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
22.4,25546,-55.1,-87.1,347.0,13.0,2.9243637064702495,-12.666810842208056,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
22.2,25603,-55.2,-87.2,350.0,13.0,2.257426309670095,-12.802500789158705,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
21.0,25958,-56.1,-88.1,341.0,14.0,4.557954162400193,-13.237260058390437,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
20.2,26213,-54.6,-87.5,335.0,14.0,5.916655664369789,-12.6883090185131,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
20.0,26270,-54.3,-87.3,340.0,12.0,4.104241719908023,-11.276311449430901,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
18.5,26768,-55.5,-87.5,314.0,6.0,4.3160388020319065,-4.1679502227539835,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
17.5,27127,-54.6,-87.1,295.0,2.0,1.8126155740732997,-0.8452365234813992,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
16.7,27432,-53.8,-86.7,260.0,5.0,4.92403876506104,0.8682408883346516,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
16.6,27462,-53.7,-86.7,261.0,5.0,4.938441702975688,0.7821723252011552,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
14.0,28555,-54.3,-87.3,311.0,12.0,9.056514962673267,-7.872708347886085,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
13.8,28651,-53.6,-86.6,315.0,13.0,9.19238815542512,-9.192388155425116,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
13.6,28742,-52.9,-85.9,318.0,14.0,9.367828489024014,-10.40402755668352,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
13.2,28956,-53.0,-86.0,325.0,18.0,10.324375854318838,-14.744736797201849,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
12.4,29337,-53.1,-86.1,306.0,18.0,14.562305898749056,-10.580134541264513,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
12.0,29566,-50.5,-84.2,295.0,18.0,16.313540166659696,-7.607128711332593,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
11.8,29659,-49.5,-83.5,295.0,19.0,17.21984795369635,-8.029746973073292,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
10.8,30237,-51.3,-84.3,295.0,28.0,25.376618037026194,-11.833311328739589,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
10.4,30480,-50.0,-83.5,295.0,32.0,29.001849185172794,-13.523784375702387,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
10.0,30740,-48.7,-82.7,300.0,23.0,19.918584287042087,-11.500000000000002,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
9.8,30873,-47.5,-82.5,298.0,22.0,19.424847042896396,-10.328374381289589,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
9.1,31394,-48.6,-82.8,290.0,20.0,18.793852415718167,-6.840402866513379,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
8.9,31508,-48.9,-82.9,294.0,21.0,19.184454610494623,-8.541469504591795,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
7.9,32309,-48.2,-82.8,325.0,29.0,16.633716654180347,-23.755409284380757,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
7.5,32614,-48.0,-82.8,350.0,14.0,2.4310744873370256,-13.787308542170912,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
7.2,32918,-47.8,-82.7,325.0,7.0,4.015035054457325,-5.734064310022941,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
7.1,32996,-47.7,-82.7,307.0,9.0,7.187719590425638,-5.416335208368431,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
7.0,33090,-47.5,-82.5,285.0,12.0,11.59110991546882,-3.1058285412302435,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
6.9,33223,-47.3,-82.3,295.0,22.0,19.938771314806296,-9.297601758295391,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
6.7,33380,-47.1,-82.1,,,,,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
6.6,33480,-45.1,-80.1,,,,,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
