pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg],Temp Gradient [degC]
354.0,8298,-30.5,-55.5,7.0,0.06,250.0,82.0,326.5,326.7,326.5,-16.869449516103504,0.002895794907011376,77.05479490444449,28.04565175270482,-13.630550483896513,242.65888099,256.73325339073943,131.30186750554972 meter ** 2 / second ** 2,,-5.949999999999999
313.5,9144,-36.4,-59.2,8.0,0.04,250.0,85.0,329.8,330.0,329.8,-22.64054951115461,0.001988170006531687,79.87387276680222,29.071712182681825,-13.759450488845403,236.75577669999998,250.81326426809233,336.9083410367726 meter ** 2 / second ** 2,,-4.0
300.0,9450,-38.5,-60.5,8.0,0.04,255.0,86.0,331.0,331.1,331.0,-24.949710623368393,0.001690319500008518,83.06962106085987,22.258437878816775,-13.55028937663161,234.65572545999999,248.45620742794665,111.23628687518975 meter ** 2 / second ** 2,,-4.300000000000001
262.1,10363,-45.0,-63.7,11.0,0.03,255.0,91.0,334.5,334.6,334.5,-31.87811929641844,0.001014442305295039,87.89925019230522,23.552533104329378,-13.121880703581553,228.15417514499998,241.42118210932847,348.1864149561107 meter ** 2 / second ** 2,,-3.6000000000000014
258.0,10470,-45.7,-64.0,11.0,0.03,255.0,91.0,334.9,335.0,334.9,-32.78349378923499,0.0009442488509869877,87.89925019230522,23.552533104329378,-12.916506210764993,227.454162335,240.5049553471212,59.603937961901046 meter ** 2 / second ** 2,,-0.6499999999999986
255.0,10549,-46.3,-64.3,11.0,0.03,253.0,91.0,335.2,335.3,335.2,-33.46042454610356,0.0008944398125443338,87.02373279263621,26.605825129769077,-12.839575453896458,226.85415135499997,239.8203520722485,205.56924888131772 meter ** 2 / second ** 2,,-0.8999999999999986
250.0,10680,-47.5,-64.5,12.0,0.03,250.0,90.0,335.3,335.4,335.3,-34.60663424967281,0.0008152306898884086,84.57233587073176,30.781812899310168,-12.893365750327177,225.65412939499998,238.66199115263078,7.908911917241828 meter ** 2 / second ** 2,,-3.1000000000000014
227.0,11310,-52.5,-66.5,17.0,0.02,248.0,88.0,337.1,337.1,337.1,-40.01975264762176,0.0005188226177244372,81.59217920187729,32.96538022060028,-12.480247352378228,220.65269192999997,233.20402883195152,13.378828119058351 meter ** 2 / second ** 2,,-2.8000000000000007
219.0,11541,-53.1,-67.1,17.0,0.02,247.0,87.0,339.6,339.7,339.6,-42.140556825012276,0.00043034495816528267,80.0839222503623,33.993608178566824,-10.959443174987712,220.05268461,231.07008556197465,37.289980095329504 meter ** 2 / second ** 2,,-2.1999999999999993
200.0,12120,-56.9,-69.9,18.0,0.02,245.0,85.0,342.5,342.6,342.5,-47.390992671132594,0.0002658656694546131,77.03616189811527,35.92255224795943,-9.509007328867398,216.25263824999996,225.7956204863349,,,-2.0
194.0,12313,-57.1,-70.1,18.0,0.02,245.0,85.0,345.2,345.2,345.2,-49.218206417348924,0.00022296969025510977,77.03616189811527,35.92255224795943,-7.881793582651056,216.05263581,223.9622508842696,,,-2.5
176.0,12924,-61.9,-72.9,22.0,0.01,245.0,84.0,347.0,347.1,347.0,-54.869734463425445,0.0001265615929197466,76.12985411107861,35.49993398621873,-7.030265536574547,211.25128862499997,218.29711733442116,,,-2.5
173.0,13030,-62.1,-73.1,22.0,0.01,245.0,84.0,348.4,348.5,348.4,-55.9016799335236,0.00011357087932998765,76.12985411107861,35.49993398621873,-6.198320066476384,211.05128740499998,217.26337064694957,,,-1.4000000000000021
163.0,13397,-64.7,-75.7,21.0,0.01,245.0,84.0,350.0,350.1,350.0,-59.394260320344635,7.800826591867361e-05,76.12985411107861,35.49993398621873,-5.305739679655346,208.451271545,213.7659112555507,,,-1.3000000000000007
162.6,13411,-64.7,-75.7,21.0,0.01,245.0,84.0,350.2,350.3,350.2,-59.5412949497004,7.67528242744855e-05,76.12985411107861,35.49993398621873,-5.158705050299602,208.451271545,213.61870604385493,,,0.0
162.0,13435,-64.7,-75.7,21.0,0.01,245.0,83.0,350.6,350.7,350.6,-59.76229997218208,7.489977401397286e-05,75.22354632404196,35.077315724478034,-4.937700027817925,208.451271545,213.3974494690287,,,0.9000000000000021
160.0,13511,-62.9,-73.9,21.0,0.01,247.0,80.0,354.9,355.0,354.9,-60.50125650173677,6.899291210251462e-05,73.64038827619522,31.258490279141906,-2.3987434982632294,210.25128252499997,212.6576929644652,,,1.3000000000000007
153.0,13788,-62.1,-73.1,22.0,0.01,253.0,69.0,360.9,360.9,360.9,-63.114376615611455,5.132156805416558e-05,65.98502816144943,20.17364762586886,1.014376615611468,211.05128740499998,210.0421987924875,,,0.0
150.0,13910,-62.9,-73.9,21.0,0.01,255.0,64.0,361.5,361.6,361.5,-64.27589458299384,4.484983136020325e-05,61.81925288250037,16.56441888656132,1.3758945829938227,210.25128252499997,208.87981987773227,,,-1.4000000000000021
142.0,14246,-64.9,-75.9,21.0,0.01,255.0,62.0,363.7,363.8,363.7,-67.42260493860745,3.084797209185743e-05,59.88740122992223,16.04678079635628,2.5226049386074294,208.25127032499998,205.7312662878868,,,-1.3499999999999979
140.1,14326,-65.6,-76.3,21.0,0.01,255.0,62.0,363.9,363.9,363.9,-68.2028295154136,2.804401524807778e-05,59.88740122992223,16.04678079635628,2.6028295154136174,207.55126605499999,204.95067648494657,,,-2.5999999999999943
129.0,14826,-70.1,-79.1,26.0,0.01,255.0,67.0,364.5,364.6,364.5,-72.80852213604497,1.570558355198425e-05,64.71703036136758,17.340876021868883,2.7085221360449907,203.05123860499998,200.34339721664492,,,-3.0500000000000043
121.0,15206,-71.7,-80.7,25.0,0.0,255.0,71.0,368.3,368.4,368.3,-76.34383133692165,9.824744537168066e-06,68.58073366652386,18.376152202278966,4.643831336921664,201.45,196.80734814097988,,,-0.8000000000000043
120.3,15240,-71.7,-80.7,25.0,0.0,255.0,73.0,368.9,369.0,368.9,-76.66832302811838,9.399344372523517e-06,70.51258531910199,18.893790292484006,4.968323028118391,201.45,196.48280351923788,,,0.0
117.0,15404,-71.7,-80.7,25.0,0.01,254.0,67.0,371.9,371.9,371.9,-78.20461653110202,7.604577722436945e-06,64.40453362786738,18.467702839738926,6.5046165311020445,201.451228845,194.94628778006327,,,0.8999999999999986
115.0,15507,-69.9,-78.9,26.0,0.01,253.0,64.0,377.1,377.1,377.1,-79.15496108322134,6.6556686548970575e-06,61.20350438163426,18.711789102255175,9.254961083221332,203.25123982499997,193.99582652846547,,,0.8999999999999986
