pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
351.0,8372,-30.5,-49.5,14.0,0.12,250.0,87.0,327.3,327.8,327.3,-16.596052887001175,0.002988567465769793,81.75325800837403,29.755752469333164,13.903947112998821,242.66776198,257.0216516685284,,
339.0,8618,-31.3,-51.3,12.0,0.1,251.0,88.0,329.4,329.9,329.5,-18.308186968728286,0.002677574417470774,83.20563465273989,28.649997592229784,12.991813031271732,241.86475284999997,255.2580513619071,,
321.0,9001,-34.5,-54.5,11.0,0.07,254.0,91.0,330.2,330.5,330.2,-21.020506526469795,0.002238559960977923,87.47481433038703,25.082999379346898,13.479493473530198,238.660190355,252.47378173686377,,
314.4,9144,-35.4,-55.4,11.0,0.07,255.0,92.0,330.9,331.2,331.0,-22.102551693395473,0.0020788881438776052,88.86517601859428,23.811352149431897,13.297448306604537,237.76015192499997,251.36580704054404,,
300.0,9470,-37.3,-57.3,11.0,0.06,255.0,91.0,332.7,332.9,332.7,-24.540727465564146,0.0017538127290168534,87.89925019230522,23.552533104329378,12.759272534435866,235.85863210999997,248.8752411395366,,
294.0,9610,-37.9,-57.9,10.0,0.05,256.0,91.0,333.8,334.0,333.8,-25.631516983345524,0.0016215785878248446,88.29691109111567,22.01489249956977,12.268483016654471,235.25717512499997,247.76331912666637,,
251.0,10683,-47.1,-63.1,14.0,0.03,260.0,92.0,335.5,335.7,335.5,-33.69066229405209,0.0008884862669442368,90.60231327712314,15.97563234535759,13.409337705947905,226.054136715,239.58911906910433,,
250.0,10710,-47.1,-63.1,14.0,0.03,260.0,92.0,335.9,336.1,335.9,-33.923483898061185,0.0008719243350924868,90.60231327712314,15.97563234535759,13.176516101938802,226.054136715,239.3537544287419,,
243.0,10897,-47.9,-63.9,14.0,0.03,260.0,92.0,337.4,337.6,337.4,-35.562000377264525,0.0007629196247586266,90.60231327712314,15.97563234535759,12.337999622735481,225.25412207499997,237.69856855672225,,
218.6,11582,-53.1,-66.9,17.0,0.02,260.0,93.0,339.7,339.8,339.7,-41.49051056751123,0.00046184341053703945,91.58712103013535,16.149280523024522,11.609489432488772,220.05268461,231.72475358178525,,
214.0,11720,-54.2,-67.5,18.0,0.02,260.0,93.0,340.1,340.2,340.1,-42.760631722381014,0.0004122578623554155,91.58712103013535,16.149280523024522,11.439368277618968,218.95267119,230.44730597298903,,
211.0,11811,-54.9,-67.9,18.0,0.02,260.0,93.0,340.4,340.5,340.4,-43.60927900793624,0.00038173195475025955,91.58712103013535,16.149280523024522,11.290720992063768,218.25266264999996,229.59417103921638,,
200.0,12150,-58.1,-70.1,20.0,0.02,260.0,92.0,340.6,340.7,340.6,-46.77035160233161,0.0002849284679437172,90.60231327712314,15.97563234535759,11.329648397668393,215.05262360999998,226.41899462156726,,
184.0,12669,-62.7,-72.7,25.0,0.01,255.0,91.0,341.4,341.4,341.4,-51.638641934350815,0.0001777710579697023,87.89925019230522,23.552533104329378,11.061358065649188,210.45128374499998,221.53537883381932,,
171.4,13106,-63.5,-73.5,25.0,0.01,250.0,91.0,347.1,347.1,347.1,-55.80140730325775,0.00011604467960419038,85.51202849151767,31.123833042635837,7.698592696742253,209.65127886499997,217.36397820690138,,
171.0,13119,-63.5,-73.5,25.0,0.01,250.0,91.0,347.2,347.3,347.2,-55.94240088893682,0.0001143286091389249,85.51202849151767,31.123833042635837,7.557599111063183,209.65127886499997,217.22274726711063,,
166.0,13300,-65.1,-75.1,24.0,0.01,251.0,86.0,347.5,347.6,347.5,-57.70844757115419,9.469493508237977e-05,81.31459750154124,27.99886128331547,7.391552428845813,208.051269105,215.4539971753768,,
164.0,13374,-64.1,-74.1,24.0,0.01,252.0,85.0,350.4,350.5,350.4,-58.433314470506076,8.75371808018173e-05,80.83980388508805,26.266444521870543,5.666685529493918,209.051275205,214.7281509024205,,
161.0,13487,-64.5,-74.5,24.0,0.01,252.0,82.0,351.6,351.6,351.6,-59.53191041428726,7.760823285139342e-05,77.98663433620258,25.3393935387457,4.9680895857127325,208.651272765,213.6282024843998,,
156.0,13680,-63.5,-73.5,25.0,0.01,254.0,78.0,356.5,356.5,356.5,-61.39161117901105,6.307717798804575e-05,74.97841228318889,21.499713753725914,2.1083888209889494,209.65127886499997,211.766536665154,,
150.0,13920,-63.9,-73.9,24.0,0.01,255.0,72.0,359.8,359.9,359.8,-63.68232126246427,4.854894457244821e-05,69.54665949281292,18.634971247381486,0.21767873753574918,209.251276425,209.47388209271782,,
141.0,14297,-65.3,-75.3,24.0,0.01,255.0,64.0,363.8,363.8,363.8,-67.22924948893598,3.191079685790905e-05,61.81925288250037,16.56441888656132,-1.929249488935966,207.85126788499997,205.92475887915938,,
138.0,14428,-64.9,-74.9,24.0,0.01,255.0,61.0,366.7,366.8,366.7,-68.47074711790437,2.7420917880870907e-05,58.92147540363317,15.787961751253759,-3.5707471179043466,208.25127032499998,204.6826765028166,,
127.0,14930,-68.7,-77.7,26.0,0.01,255.0,50.0,368.7,368.7,368.7,-73.09904230381834,1.5281832950042847e-05,48.29629131445341,12.940952255126032,-4.399042303818362,204.451247145,200.05282255482498,,
126.9,14935,-68.7,-77.7,26.0,0.01,255.0,50.0,368.8,368.8,368.8,-73.14386941157174,1.5192593586839557e-05,48.29629131445341,12.940952255126032,-4.443869411571768,204.451247145,200.00798414166093,,
121.0,15219,-68.9,-77.9,26.0,0.01,241.0,47.0,373.4,373.5,373.4,-75.7902231489766,1.0696043597378234e-05,41.107126235551604,22.78605215157783,-6.890223148976588,204.25124592499998,197.3610645419777,,
120.6,15240,-69.1,-78.1,26.0,0.01,240.0,47.0,373.5,373.5,373.5,-75.97612308504624,1.0430302398596613e-05,40.70319397786861,23.50000000000002,-6.87612308504626,204.051244705,197.17513143068211,,
117.0,15419,-70.7,-79.7,25.0,0.01,240.0,49.0,373.7,373.8,373.7,-77.65331417454722,8.291904997058405e-06,42.43524478543748,24.50000000000002,-6.953314174547245,202.45123494499998,195.4976746598199,,
114.0,15574,-68.7,-77.7,26.0,0.01,245.0,50.0,380.2,380.3,380.2,-79.08258032304434,6.791882659783663e-06,45.31538935183251,21.13091308703496,-10.382580323044351,204.451247145,194.0682237076726,,
111.0,15733,-68.9,-77.9,26.0,0.01,251.0,52.0,382.8,382.8,382.8,-80.5393585987861,5.5204404238628686e-06,49.166965931164476,16.929544031772146,-11.639358598786089,204.25124592499998,192.61129001151212,,
109.0,15842,-67.5,-76.5,27.0,0.01,255.0,53.0,387.4,387.4,387.4,-81.52967105432023,4.783664100471195e-06,51.19406879332062,13.717409390433593,-14.029671054320232,205.65125446499997,191.62088810052575,,
108.9,15850,-67.5,-76.5,27.0,0.01,255.0,53.0,387.5,387.6,387.5,-81.5798468720286,4.748804110718475e-06,51.19406879332062,13.717409390433593,-14.079846872028611,205.65125446499997,191.57070806274106,,
106.0,16010,-67.5,-76.5,27.0,0.01,252.0,45.0,390.5,390.6,390.5,-83.03591547362592,3.833427470049824e-06,42.79754323328191,13.90576474687264,-15.53591547362592,205.65125446499997,190.11452908739204,,
104.0,16124,-68.5,-77.5,26.0,0.01,250.0,40.0,390.7,390.8,390.7,-84.06001324550894,3.2889862370760565e-06,37.58770483143634,13.680805733026741,-15.56001324550894,204.651248365,189.09036612225307,,
102.0,16241,-67.3,-77.3,23.0,0.01,247.0,34.0,395.2,395.2,395.2,-85.09835454600439,2.809763780465106e-06,31.29716501738297,13.28485836863531,-17.79835454600436,205.85125568499996,188.05196776622398,,
100.0,16360,-67.9,-76.9,27.0,0.01,245.0,28.0,396.3,396.3,396.3,-86.15139735958866,2.3895784808815947e-06,,,-18.25139735958865,205.25125202499999,186.99887521759177,,
93.3,16774,-71.1,-80.1,25.0,0.01,241.0,24.0,397.9,397.9,397.9,-89.72996458881502,1.3553975716995355e-06,,,-18.629964588815028,202.05123250499997,183.420187061498,,
89.0,17053,-71.5,-80.5,25.0,0.01,238.0,22.0,402.5,402.6,402.5,-92.14527834605637,9.091523144349683e-07,,,-20.645278346056386,201.651230065,181.00482203606919,,
86.8,17202,-70.3,-79.3,26.0,0.01,236.0,21.0,407.8,407.9,407.8,-93.42385591311792,7.316869815555041e-07,,,-23.123855913117893,202.85123738499996,179.72622430388282,,
83.8,17413,-65.9,-75.9,24.0,0.02,234.0,19.0,420.9,420.9,420.9,-95.19904071038665,5.377237352726411e-07,,,-29.299040710386663,207.25252844999997,177.95101765957054,,
76.4,17972,-68.1,-78.1,23.0,0.01,228.0,14.0,427.5,427.6,427.5,-99.69009279768866,2.3835174841423538e-07,,,-31.59009279768867,205.051250805,173.45993242243935,,
72.5,18288,-67.4,-77.4,23.0,0.01,225.0,11.0,435.5,435.6,435.5,-102.22100624134343,1.469608448312306e-07,,,-34.82100624134344,205.75125507499996,170.92900908177683,,
70.9,18423,-67.1,-77.1,23.0,0.01,231.0,12.0,438.9,439.0,438.9,-103.2992567093282,1.1889734828486507e-07,,,-36.19925670932821,206.05125690499997,169.85075560950162,,
70.0,18500,-65.9,-75.9,24.0,0.02,235.0,13.0,443.1,443.2,443.1,-103.91555419051808,1.0516556297770385e-07,,,-38.01555419051809,207.25252844999997,169.2344566660397,,
